,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
850,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765,200,235.1219512,41
851,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Kintampo,-1.544426322,8.371118546,226,257.4,60
852,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,New Juaben (Koforidua),-0.297512323,6.112612724,270,293.6,80
853,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Mfantsiman (Saltpond),-1.006453395,5.201528072,206,256.6888889,90
854,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Cape Coast Municipal,-1.306593895,5.153656006,262,293.6285714,70
855,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Offinso,-1.890868545,7.34876442,266,291.7125,80
856,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834,308,322.1333333,15
857,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Kadjebi,0.496497512,7.721589088,241,273.22,50
858,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Juaboso Bia (Juaboso),-2.926683426,6.359212875,215,236.1111111,9
859,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357,314,326.68,50
860,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,377,395.1153846,78
861,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,East Akim (Kibi),-0.454344213,6.178557873,210,246.0727273,110
862,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Berekum,-2.631743908,7.503564835,271,284.16,50
863,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Wassa West (Tarkwa),-1.988853216,5.276049137,271,290.65,40
864,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Mech. Eng. Craft Pract.,Bawku East (Bawku),-0.18813774,11.03635216,205,237.8823529,17
865,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Carpentry & Joinery,Nzema East (Axim),-2.311802149,5.141225815,214,262,11
866,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591,335,350.75,40
